GeneA,GeneB,Direction,Sign
YNL154C,YBL024W,1,0
YBL016W,YLR192C,1,0
YIL095W,YDR034CC,1,0
YHR135C,YDR440W,1,0
YNL307C,YAL007C,1,0
YPL031C,YPL050C,1,0
YNL307C,YCR105W,1,0
YHR082C,YBL064C,1,0
YHR135C,YMR184W,1,0
YJR059W,YML037C,1,0
YIL095W,YOR181W,1,0
YBR160W,YFR046C,1,0
YFR014C,YER153C,1,0
YJR059W,YFL050C,1,0
YPL031C,YDR293C,1,0
YGL180W,YDR037W,1,0
YJL106W,YNL312W,1,0
YFR014C,YJL189W,1,0
YBL016W,YNL054WA,1,0
YJR059W,YPR167C,1,0
YMR001C,YOR372C,1,0
YDR477W,YKR022C,1,0
YBR160W,YMR241W,1,0
YHR135C,YHL024W,1,0
YHR030C,YPL089C,1,0
YBR160W,YOR037W,1,0
YAL017W,YPR160W,1,0
YJL164C,YOR198C,1,0
YDL214C,YGR249W,1,0
YJL128C,YIL033C,1,0
YBL016W,YGL055W,1,0
YKL166C,YOR028C,1,0
YHR135C,YDR346C,1,0
YPL031C,YKR018C,1,0
YJL164C,YLL038C,1,0
YBR160W,YGL113W,1,0
YLR096W,YJR056C,1,0
YNL298W,YPR067W,1,0
YJR059W,YKL140W,1,0
YNL298W,YPR115W,1,0
YJL187C,YML037C,1,0
YPL203W,YFR017C,1,0
YHR030C,YLR371W,1,0
YNL154C,YBR108W,1,0
YDL214C,YKL080W,1,0
YKL166C,YKL157W,1,0
YBR160W,YBL063W,1,0
YHR082C,YOR123C,1,0
YKL166C,YDR382W,1,0
YJR059W,YML118W,1,0
YBL016W,YPL133C,1,0
YKL048C,YDR507C,1,0
YBR160W,YDR052C,1,0
YHR082C,YDL201W,1,0
YJR059W,YNL167C,1,0
YKL166C,YML013W,1,0
YOR233W,YBL011W,1,0
YPL031C,YJR129C,1,0
YGL179C,YGL153W,1,0
YJL165C,YDR293C,1,0
YBL016W,YLR310C,1,0
YDL214C,YBL007C,1,0
YNL154C,YJR063W,1,0
YKL101W,YHL021C,1,0
YLL019C,YOL016C,1,0
YJR059W,YMR140W,1,0
YJL187C,YOR078W,1,0
YFR014C,YFR017C,1,0
YHR082C,YNL054WA,1,0
YGL179C,YLL008W,1,0
YPL026C,YGR249W,1,0
YMR001C,YLR102C,1,0
YCR091W,YLL034C,1,0
YOL113W,YDL131W,1,0
YFR014C,YMR087W,1,0
YGL180W,YOR078W,1,0
YGL019W,YGR113W,1,0
YJR059W,YPR091C,1,0
YPL031C,YJR094WA,1,0
YPL150W,YMR111C,1,0
YNL154C,YBR233W,1,0
YLR248W,YER122C,1,0
YFR014C,YOR141C,1,0
YJL095W,YNL034W,1,0
YHR135C,YDR208W,1,0
YKL101W,YHL009C,1,0
YPL031C,YBR299W,1,0
YGL179C,YNL027W,1,0
YFR014C,YDR169C,1,0
YJR059W,YER122C,1,0
YOR351C,YGL035C,1,0
YGL180W,YKR092C,1,0
YKL166C,YLR043C,1,0
YNL154C,YLR375W,1,0
YJL164C,YIL112W,1,0
YHR135C,YDL070W,1,0
YJR059W,YMR288W,1,0
YBR160W,YHL022C,1,0
YJL164C,YNL125C,1,0
YJL164C,YGR210C,1,0
YNL307C,YNL078W,1,0
YHL007C,YNL022C,1,0
YBR160W,YBL084C,1,0
YPL031C,YFR017C,1,0
YPL031C,YER077C,1,0
YPL031C,YHR009C,1,0
YJR059W,YBR157C,1,0
YJR059W,YGR266W,1,0
YNL183C,YOR322C,1,0
YIL095W,YMR239C,1,0
YJR059W,YMR081C,1,0
YNL154C,YNL074C,1,0
YPL153C,YLR182W,1,0
YNL154C,YOR107W,1,0
YLR096W,YIL063C,1,0
YJL187C,YPR082C,1,0
YDR477W,YOR198C,1,0
YHR082C,YMR291W,1,0
YHR082C,YPL177C,1,0
YGL180W,YOL103WA,1,0
YGR052W,YML037C,1,0
YPL031C,YER067W,1,0
YJL187C,YNL027W,1,0
YLR248W,YOR133W,1,0
YMR001C,YGL003C,1,0
YBR160W,YLR303W,1,0
YGL180W,YGR126W,1,0
YHR079C,YAR019C,1,0
YPL203W,YFR014C,1,0
YNL154C,YCR073WA,1,0
YIL095W,YBL047C,1,0
YDL017W,YPR019W,1,0
YNL154C,YOL122C,1,0
YNL307C,YNL272C,1,0
YPL031C,YML117W,1,0
YJL095W,YML080W,1,0
YJL106W,YKR100C,1,0
