Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta0.50_mu0.030_omega6.5_seed122815_optimalForest.sif	64	2	62	1596	0	0.000000
prizes_beta0.50_mu0.090_omega2.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.055_omega10.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.090_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.060_omega2.0_seed122815_optimalForest.sif	28	1	27	1596	0	0.000000
prizes_beta0.50_mu0.060_omega7.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.085_omega1.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.095_omega6.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.095_omega7.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.000_omega5.0_seed122815_optimalForest.sif	53	2	51	1596	0	0.000000
prizes_beta0.50_mu0.060_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.065_omega5.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.065_omega7.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.055_omega7.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.040_omega1.0_seed122815_optimalForest.sif	44	2	42	1596	0	0.000000
prizes_beta0.50_mu0.095_omega9.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.040_omega4.5_seed122815_optimalForest.sif	44	2	42	1596	0	0.000000
prizes_beta0.50_mu0.070_omega9.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.040_omega4.0_seed122815_optimalForest.sif	44	2	42	1596	0	0.000000
prizes_beta0.25_mu0.070_omega9.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.075_omega6.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.080_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.085_omega6.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.040_omega9.0_seed122815_optimalForest.sif	44	2	42	1596	0	0.000000
prizes_beta0.50_mu0.050_omega3.0_seed122815_optimalForest.sif	37	2	35	1596	0	0.000000
prizes_beta0.75_mu0.010_omega7.0_seed122815_optimalForest.sif	197	5	192	1596	0	0.000000
prizes_beta0.75_mu0.015_omega4.0_seed122815_optimalForest.sif	189	5	184	1596	0	0.000000
prizes_beta0.50_mu0.085_omega5.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.75_mu0.035_omega2.5_seed122815_optimalForest.sif	149	3	146	1596	0	0.000000
prizes_beta0.50_mu0.085_omega7.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.095_omega3.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.75_mu0.015_omega2.0_seed122815_optimalForest.sif	189	5	184	1596	0	0.000000
prizes_beta0.50_mu0.100_omega9.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.100_omega4.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.75_mu0.000_omega2.5_seed122815_optimalForest.sif	227	5	222	1596	0	0.000000
prizes_beta0.50_mu0.025_omega5.5_seed122815_optimalForest.sif	73	2	71	1596	0	0.000000
prizes_beta0.75_mu0.060_omega4.5_seed122815_optimalForest.sif	108	1	107	1596	0	0.000000
prizes_beta0.75_mu0.025_omega7.5_seed122815_optimalForest.sif	169	3	166	1596	0	0.000000
prizes_beta0.75_mu0.015_omega9.5_seed122815_optimalForest.sif	189	5	184	1596	0	0.000000
prizes_beta0.75_mu0.055_omega3.5_seed122815_optimalForest.sif	113	1	112	1596	0	0.000000
prizes_beta0.75_mu0.065_omega2.0_seed122815_optimalForest.sif	93	2	91	1596	0	0.000000
prizes_beta0.75_mu0.045_omega0.5_seed122815_optimalForest.sif	141	3	138	1596	0	0.000000
prizes_beta0.75_mu0.055_omega8.0_seed122815_optimalForest.sif	102	2	100	1596	0	0.000000
prizes_beta0.75_mu0.055_omega7.5_seed122815_optimalForest.sif	100	2	98	1596	0	0.000000
prizes_beta0.75_mu0.055_omega9.0_seed122815_optimalForest.sif	98	2	96	1596	0	0.000000
prizes_beta0.75_mu0.025_omega1.0_seed122815_optimalForest.sif	169	3	166	1596	0	0.000000
prizes_beta0.75_mu0.045_omega3.0_seed122815_optimalForest.sif	141	3	138	1596	0	0.000000
prizes_beta0.75_mu0.050_omega0.5_seed122815_optimalForest.sif	118	2	116	1596	0	0.000000
prizes_beta0.75_mu0.035_omega5.5_seed122815_optimalForest.sif	149	3	146	1596	0	0.000000
prizes_beta0.75_mu0.070_omega8.0_seed122815_optimalForest.sif	58	2	56	1596	0	0.000000
prizes_beta0.75_mu0.030_omega5.0_seed122815_optimalForest.sif	162	3	159	1596	0	0.000000
prizes_beta0.75_mu0.045_omega6.0_seed122815_optimalForest.sif	141	3	138	1596	0	0.000000
prizes_beta0.75_mu0.050_omega3.0_seed122815_optimalForest.sif	118	2	116	1596	0	0.000000
prizes_beta0.75_mu0.040_omega1.0_seed122815_optimalForest.sif	144	3	141	1596	0	0.000000
prizes_beta0.75_mu0.060_omega1.5_seed122815_optimalForest.sif	108	1	107	1596	0	0.000000
prizes_beta0.75_mu0.020_omega6.5_seed122815_optimalForest.sif	179	4	175	1596	0	0.000000
prizes_beta0.75_mu0.030_omega0.5_seed122815_optimalForest.sif	162	3	159	1596	0	0.000000
prizes_beta0.75_mu0.030_omega6.0_seed122815_optimalForest.sif	162	3	159	1596	0	0.000000
prizes_beta0.75_mu0.060_omega8.5_seed122815_optimalForest.sif	97	2	95	1596	0	0.000000
prizes_beta0.75_mu0.070_omega1.0_seed122815_optimalForest.sif	55	2	53	1596	0	0.000000
prizes_beta0.75_mu0.070_omega0.5_seed122815_optimalForest.sif	55	2	53	1596	0	0.000000
prizes_beta0.75_mu0.000_omega7.5_seed122815_optimalForest.sif	228	6	222	1596	0	0.000000
prizes_beta0.50_mu0.095_omega7.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.75_mu0.070_omega3.5_seed122815_optimalForest.sif	55	2	53	1596	0	0.000000
prizes_beta0.75_mu0.055_omega0.5_seed122815_optimalForest.sif	113	1	112	1596	0	0.000000
prizes_beta0.75_mu0.045_omega1.5_seed122815_optimalForest.sif	141	3	138	1596	0	0.000000
prizes_beta0.75_mu0.070_omega4.0_seed122815_optimalForest.sif	53	2	51	1596	0	0.000000
prizes_beta0.75_mu0.010_omega8.0_seed122815_optimalForest.sif	197	5	192	1596	0	0.000000
prizes_beta0.75_mu0.015_omega5.0_seed122815_optimalForest.sif	189	5	184	1596	0	0.000000
prizes_beta0.75_mu0.060_omega7.5_seed122815_optimalForest.sif	97	2	95	1596	0	0.000000
