Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta1.75_mu0.095_omega4.5_seed22_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed230_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed231_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed232_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed233_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed234_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed235_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed236_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed237_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed238_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed239_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed23_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed240_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed241_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed242_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed243_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed244_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed245_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed246_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed247_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed248_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed249_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed24_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed250_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed251_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed252_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed253_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed254_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed255_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed256_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed257_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed258_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed259_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed25_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed260_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed261_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed262_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed263_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed264_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed265_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed266_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed267_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed268_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed269_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed26_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed270_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed271_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed272_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed273_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed274_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed275_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed276_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed277_optimalForest.sif	249	3	246	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed278_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed279_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed27_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed280_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed281_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed282_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed283_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed284_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed285_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed286_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed287_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed288_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed289_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed28_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed290_optimalForest.sif	246	3	243	1596	0	0.000000
