Edge	Weight	FractionOfOptimalForestsContaining
YER125W (pd) YPR181C	0.5	0.0
YER129W (pd) YDR477W	0.5	0.0
YER129W (pd) YER027C	0.5	1.0
YER129W (pd) YGL035C	0.5	1.0
YER133W (pd) YAL043C	0.5	0.0
YER133W (pd) YDR477W	0.5	0.0
YER133W (pd) YIR006C	0.5	0.0
YER133W (pd) YJR093C	0.5	1.0
YER133W (pd) YLR277C	0.5	1.0
YER133W (pd) YMR037C	0.5	0.0
YER133W (pd) YOR329C	0.5	1.0
YER151C (pd) YDL140C	0.5	0.0
YER151C (pd) YLR167W	0.5	1.0
YER151C (pd) YPR181C	0.5	1.0
YFL029C (pd) YDL108W	0.5	1.0
YFL029C (pd) YJL106W	0.5	1.0
YFL029C (pd) YKL139W	0.5	1.0
YFL029C (pd) YPR161C	0.5	1.0
YFL033C (pd) YER151C	0.5	0.0
YFL033C (pd) YHR132WA	0.5	1.0
YFL033C (pd) YMR155W	0.5	0.0
YFL033C (pd) YNL157W	0.5	1.0
YFL033C (pd) YOR380W	0.5	1.0
YFL033C (pd) YPL031C	0.5	1.0
YFR014C (pd) YBL047C	0.5	0.0
YFR014C (pd) YBR001C	0.5	1.0
YFR014C (pd) YBR109C	0.5	0.0
YFR014C (pd) YCL029C	0.5	0.0
YFR014C (pd) YDR001C	0.5	0.0
YFR014C (pd) YDR169C	0.5	1.0
YFR014C (pd) YDR328C	0.5	0.0
YFR014C (pd) YEL017W	0.5	0.0
YFR014C (pd) YER054C	0.5	1.0
YFR014C (pd) YER131W	0.5	0.0
YFR014C (pd) YER157W	0.5	1.0
YFR014C (pd) YFR010W	0.5	0.0
YFR014C (pd) YFR017C	0.5	0.0
YFR014C (pd) YGL023C	0.5	1.0
YFR014C (pd) YGL073W	0.5	1.0
YFR014C (pd) YGR130C	0.5	0.0
YFR014C (pd) YGR159C	0.5	0.0
YFR014C (pd) YHR090C	0.5	0.0
YFR014C (pd) YHR117W	0.5	0.0
YFR014C (pd) YHR182W	0.5	0.0
YFR014C (pd) YIL107C	0.5	0.0
YFR014C (pd) YIR003W	0.5	0.0
YFR014C (pd) YJL084C	0.5	0.0
YFR014C (pd) YJL136C	0.5	1.0
YFR014C (pd) YJL146W	0.5	0.0
YFR014C (pd) YJR001W	0.5	0.0
YFR014C (pd) YJR072C	0.5	1.0
YFR014C (pd) YJR076C	0.5	0.0
YFR014C (pd) YKL042W	0.5	0.0
YFR014C (pd) YKL064W	0.5	1.0
YFR014C (pd) YKL127W	0.5	1.0
YFR014C (pd) YKR071C	0.5	0.0
YFR014C (pd) YKR092C	0.5	1.0
YFR014C (pd) YLL024C	0.5	0.0
YFR014C (pd) YLL028W	0.5	0.0
YFR014C (pd) YLL043W	0.5	0.0
YFR014C (pd) YLR102C	0.5	0.0
YFR014C (pd) YLR319C	0.5	0.0
YFR014C (pd) YLR457C	0.5	0.0
YFR014C (pd) YML062C	0.5	0.0
YFR014C (pd) YMR049C	0.5	0.0
YFR014C (pd) YMR140W	0.5	0.0
