Edge	Weight	FractionOfOptimalForestsContaining
YPL031C (pd) YMR155W	0.5	0.0
YPL031C (pd) YMR165C	0.5	0.0
YPL031C (pd) YMR173W	0.5	0.0
YPL031C (pd) YMR192W	0.5	1.0
YPL031C (pd) YMR205C	0.5	0.0
YPL031C (pd) YMR311C	0.5	1.0
YPL031C (pd) YMR313C	0.5	1.0
YPL031C (pd) YNL027W	0.5	0.0
YPL031C (pd) YNL077W	0.5	0.0
YPL031C (pd) YNL104C	0.5	1.0
YPL031C (pd) YNL136W	0.5	0.0
YPL031C (pd) YNL149C	0.5	0.0
YPL031C (pd) YNL166C	0.5	1.0
YPL031C (pd) YNL189W	0.5	0.0
YPL031C (pd) YNL225C	0.5	1.0
YPL031C (pd) YNL227C	0.5	0.0
YPL031C (pd) YNL233W	0.5	0.0
YPL031C (pd) YNL277W	0.5	0.0
YPL031C (pd) YNL289W	0.5	1.0
YPL031C (pd) YNL304W	0.5	1.0
YPL031C (pd) YNR010W	0.5	1.0
YPL031C (pd) YNR013C	0.5	0.0
YPL031C (pd) YOL041C	0.5	1.0
YPL031C (pd) YOL060C	0.5	1.0
YPL031C (pd) YOL070C	0.5	0.0
YPL031C (pd) YOL082W	0.5	0.0
YPL031C (pd) YOL123W	0.5	1.0
YPL031C (pd) YOR054C	0.5	0.0
YPL031C (pd) YOR056C	0.5	1.0
YPL031C (pd) YOR083W	0.5	0.0
YPL031C (pd) YOR110W	0.5	1.0
YPL031C (pd) YOR298CA	0.5	1.0
YPL031C (pd) YOR301W	0.5	1.0
YPL031C (pd) YOR359W	0.5	1.0
YPL031C (pd) YPL106C	0.5	0.0
YPL031C (pd) YPL118W	0.5	1.0
YPL031C (pd) YPL133C	0.5	0.0
YPL031C (pd) YPL146C	0.5	0.0
YPL031C (pd) YPL190C	0.5	1.0
YPL031C (pd) YPL193W	0.5	1.0
YPL031C (pd) YPL249C	0.5	1.0
YPL031C (pd) YPR019W	0.5	0.0
YPL031C (pd) YPR042C	0.5	1.0
YPL031C (pd) YPR089W	0.5	1.0
YPL031C (pd) YPR091C	0.5	0.0
YPL031C (pd) YPR135W	0.5	1.0
YPL031C (pd) YPR160W	0.5	0.0
YPL150W (pd) YDL220C	0.5	0.0
YPL150W (pd) YER002W	0.5	1.0
YPL150W (pd) YGL013C	0.5	1.0
YPL150W (pd) YKR048C	0.5	0.0
YPL150W (pd) YMR111C	0.5	0.0
YPL150W (pd) YNL077W	0.5	0.0
YPL150W (pd) YPR072W	0.5	1.0
YPL153C (pd) YAR002W	0.5	0.0
YPL153C (pd) YBL007C	0.5	0.0
YPL153C (pd) YBR108W	0.5	0.0
YPL153C (pd) YBR130C	0.5	0.0
YPL153C (pd) YDL019C	0.5	1.0
YPL153C (pd) YDL225W	0.5	0.0
YPL153C (pd) YDR052C	0.5	0.0
YPL153C (pd) YDR217C	0.5	0.0
YPL153C (pd) YDR226W	0.5	1.0
YPL153C (pd) YDR266C	0.5	1.0
YPL153C (pd) YDR293C	0.5	0.0
YPL153C (pd) YER122C	0.5	0.0
YPL153C (pd) YER169W	0.5	1.0
YPL153C (pd) YHR030C	0.5	1.0
YPL153C (pd) YIL135C	0.5	0.0
YPL153C (pd) YJL084C	0.5	0.0
YPL153C (pd) YJL128C	0.5	0.0
YPL153C (pd) YLR182W	0.5	0.0
YPL153C (pd) YLR257W	0.5	0.0
YPL153C (pd) YLR335W	0.5	1.0
YPL153C (pd) YML035C	0.5	1.0
YPL153C (pd) YNL298W	0.5	1.0
YPL153C (pd) YOR098C	0.5	1.0
YPL153C (pd) YOR181W	0.5	1.0
YPL153C (pd) YPL127C	0.5	0.0
YPL153C (pd) YPL150W	0.5	0.0
YPL153C (pd) YPL194W	0.5	1.0
YPL153C (pd) YPR091C	0.5	1.0
YPL209C (pd) YBR118W	0.5	0.0
YPL209C (pd) YBR156C	0.5	0.0
YPL209C (pd) YDR130C	0.5	0.0
YPL209C (pd) YER016W	0.5	1.0
YPL209C (pd) YER125W	0.5	0.0
YPL209C (pd) YFL001W	0.5	1.0
YPL209C (pd) YGR113W	0.5	1.0
YPL209C (pd) YGR140W	0.5	0.0
YPL209C (pd) YHR090C	0.5	0.0
YPL209C (pd) YIL091C	0.5	1.0
YPL209C (pd) YIL144W	0.5	1.0
YPL209C (pd) YIR010W	0.5	1.0
YPL209C (pd) YJL080C	0.5	0.0
YPL209C (pd) YKL052C	0.5	0.0
YPL209C (pd) YKL089W	0.5	1.0
YPL209C (pd) YKR048C	0.5	1.0
YPL209C (pd) YLL018C	0.5	1.0
YPL209C (pd) YLR003C	0.5	1.0
YPL209C (pd) YLR150W	0.5	1.0
YPL209C (pd) YLR192C	0.5	0.0
YPL209C (pd) YML074C	0.5	1.0
YPL209C (pd) YMR004W	0.5	1.0
YPL209C (pd) YOR058C	0.5	0.0
YPL209C (pd) YOR198C	0.5	0.0
YPL209C (pd) YPL133C	0.5	1.0
YPL209C (pd) YPR115W	0.5	0.0
YPR111W (pd) YPL127C	0.5	1.0
YPR161C (pd) YDL140C	0.5	0.0
YPR161C (pd) YGL058W	0.5	1.0
YPR161C (pd) YML010W	0.5	1.0
YPR161C (pd) YMR036C	0.5	0.0
